일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2020-12-09,2755.47,54.54,2.02,2703.3,2755.47,2703.3,1252305.0,17007606.0,1894556865.0
2020-12-10,2746.46,-9.01,-0.33,2750.34,2765.46,2718.7,1227651.0,20630647.0,1889374447.0
2020-12-11,2770.06,23.6,0.86,2754.16,2781.04,2754.16,1215239.0,18329100.0,1906299605.0
2020-12-14,2762.2,-7.86,-0.28,2769.43,2782.79,2755.29,1113631.0,17012253.0,1901627365.0
2020-12-15,2756.82,-5.38,-0.19,2763.65,2769.37,2735.08,1093523.0,15537969.0,1897677117.0
2020-12-16,2771.79,14.97,0.54,2763.64,2781.08,2761.5,1166638.0,13649677.0,1907811219.0
2020-12-17,2770.43,-1.36,-0.05,2769.89,2772.71,2742.25,1015484.0,16275329.0,1906419280.0
2020-12-18,2772.18,1.75,0.06,2770.95,2782.15,2762.8,1059144.0,19166225.0,1907350242.0
2020-12-21,2778.65,6.47,0.23,2771.98,2780.24,2747.09,1139514.0,18972231.0,1911737301.0
2020-12-22,2733.68,-44.97,-1.62,2772.03,2774.22,2733.64,1260762.0,19881378.0,1881809988.0
2020-12-23,2759.82,26.14,0.96,2737.74,2769.08,2716.28,1121347.0,20281218.0,1901461519.0
2020-12-24,2806.86,47.04,1.7,2762.6,2812.16,2762.6,1030890.0,19984695.0,1936826862.0
2020-12-28,2808.6,1.74,0.06,2820.95,2834.59,2799.56,1006250.0,24197781.0,1938374378.0
2020-12-29,2820.51,11.91,0.42,2810.55,2823.44,2792.06,1046839.0,19299049.0,1944111086.0
2020-12-30,2873.47,52.96,1.88,2820.36,2878.21,2809.35,1074033.0,17928855.0,1980543162.0
2021-01-04,2944.45,70.98,2.47,2874.5,2946.54,2869.11,1026510.0,25011394.0,2028846032.0
2021-01-05,2990.57,46.12,1.57,2943.67,2990.57,2921.84,1519912.0,26548380.0,2059743508.0
2021-01-06,2968.21,-22.36,-0.75,2993.34,3027.16,2961.37,1793419.0,29909396.0,2044102754.0
2021-01-07,3031.68,63.47,2.14,2980.75,3055.28,2980.75,1524655.0,27182807.0,2086578562.0
2021-01-08,3152.18,120.5,3.97,3040.11,3161.11,3040.11,1297903.0,40909490.0,2170537648.0
